,Sampling Location,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-15 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y
39,Adilabad/ Mandamarri,-,-,-,-,-,4,4,4,5,5,5,5,4.571428571428571,-,-,-,-,-,15,16,17,18,22,20,21,18.428571428571427,62,68,71,70,69,66,60,61,58,67,63,65,65,,,,,,,,,,,,,,-,-,-,-,-,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Rajendranaga, NG Rang Agricultural University ",,,,,,,,,,,,,,16.1,16.2,16.2,16.6,16.1,16.1,15,16.4,12.9,16.9,14.3,17.2,15.833333333333334,63,76,67,72,65,64,71,60,58,66,75,78,67.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Punjagutta,,,,,,,,,,,,,,68.79384311893193,51.09861611669338,66.17,75.1570581942922,71.15402251428968,77.92590684176727,78.5,,,,,-,69.82849239799636,126,109.714377506943,118.89,114.16904781922169,109.35424006383047,107.09241182666814,95,,,,,-,111.4600110309519,,,,,,,,,,,,,,126,109.714377506943,118.89,114.16904781922169,109.35424006383047,107.09241182666814,95,-,-,-,-,-,111.4600110309519,5.814413324579256,2.551923576090743,4.41,3.773212206111645,7.416257333940441,11.224644432960064,6.8,-,-,-,-,-,5.998635839097449,1.9008727747059349,1.57927647918465,1.54,1.8182543984582564,1.6656581523894642,1.6807874613537253,1.6,-,-,-,-,-,1.6835498951560044,0.122069466991342,0.0021839080459770113,0,2.325061220945705,4.0846350995064835,7.796787791569717,5.9,-,-,-,-,-,2.8901053552941747
42,Buddha Purnima Project office,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,70,52,67,52,41,47,38,57,81,106,63.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Mee-Seva, Warangal ",,,,,,,,,,,,,,,,,,,,,,,,,,,76,72,63,73,84,68,56,36,52,61,83,84,67.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"DIC building, Karimnagar",,,,,,,,,,,,,,,,,,,,,,,,,,,69,59,42,62,52,47,23,33,29,50,69,83,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Paradise, HMWS &SB Pump house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,48,42,50,48,37,50,58,73,50.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Jeedimetla, Industrial Association Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,44,48,37,34,32,49,73,64,47.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Subhasnagar/         Nizamabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,43,38,28,28,27,32,29,32,32.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Adilabad/  Mandamarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,40,40,30,29,28,33,30,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Subhasnagar/ Nizamabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
