,Sampling Location,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-15 00:00:00,2016-05-15 00:00:00,2016-06-15 00:00:00,2016-07-15 00:00:00,2016-08-15 00:00:00,2016-09-15 00:00:00,2016-10-15 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00_x,2016-05-01 00:00:00_x,2016-06-01 00:00:00_x,2016-07-01 00:00:00_x,2016-08-01 00:00:00_x,2016-09-01 00:00:00_x,2016-10-01 00:00:00_x,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y,2016-01-15 00:00:00_x,2016-02-15 00:00:00_x,2016-03-15 00:00:00_x,2016-04-01 00:00:00_y,2016-05-01 00:00:00_y,2016-06-01 00:00:00_y,2016-07-01 00:00:00_y,2016-08-01 00:00:00_y,2016-09-01 00:00:00_y,2016-10-01 00:00:00_y,2016-11-01 00:00:00_x,2016-12-01 00:00:00_x,Ann. Avg_x,2016-01-15 00:00:00_y,2016-02-15 00:00:00_y,2016-03-15 00:00:00_y,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00_y,2016-12-01 00:00:00_y,Ann. Avg_y
10,"Madhapur, Shilpa Kalavedika ",4.3,4.2,4.3,4.5,4.7,4.9,4.5,4.5,4.3,4.5,4.5,4.7,4.491666666666666,20.6,19.7,19.3,19.1,22.6,18.9,17.8,18,16.7,18.4,17,19.6,18.974999999999998,97,90,89,84,70,58,55,49,40,65,101,105,75.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Shameerpet, MRO office",4.3,4.2,4.3,4.5,4.6,4.4,4.5,4.5,4.4,4.3,4.4,4.6,4.416666666666666,17.7,16.7,16.4,20,19.6,16.5,16.9,15.5,14.9,16.8,15.6,18.6,17.1,82,64,84,78,62,77,65,75,71,74,83,60,72.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Kukatpally, JNTU",4.3,4.2,4.5,4.6,4.6,5.2,5,4.7,4.5,5.1,5,5.6,4.775000000000001,22.3,22.3,24,25.2,28,25.9,22.1,23.8,24.6,25.1,33.2,41.1,26.46666666666667,99,83,78,84,80,80,67,65,65,95,137,139,89.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Sainikpuri,  MRO office ",4.3,4.2,4.4,4.3,4.7,5.1,4.5,4.7,4.3,5.2,4.4,4.3,4.533333333333333,15.8,18.8,18.3,16.9,17.7,18.9,15.4,17.9,16,19.5,19.7,18.8,17.808333333333334,85,88,85,71,78,79,66,73,62,91,80,114,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Rajendranagar, NG Ranga Agricultural University ",4.2,4.1,4.1,4.3,4.5,4.3,4.3,4.3,4.2,4.6,4.2,4.5,4.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Nacharam, Police station ",4.3,4.3,4.5,4.7,4.7,4.9,4.7,5.2,4.6,5.1,4.8,5,4.733333333333333,20.6,22.9,22.3,23.5,24.3,23.6,25,21.2,20.3,26,23.7,25.8,23.266666666666666,129,136,131,128,112,104,98,68,60,106,132,139,111.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Abids, Police station ",4.3,4.2,4.4,4.6,4.8,4.7,4.7,4.8,4.4,4.8,4.7,5,4.616666666666666,22.7,26.7,24.5,26.2,25.8,24.3,25,22,20.3,23.8,25.3,23.4,24.166666666666668,136,121,118,122,91,79,87,77,70,105,136,140,106.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"KBRN Park, DFO office ",4.2,4.2,4.5,4.3,4.4,4.3,4.3,4.4,4.2,4.6,4.4,4.5,4.358333333333333,19.8,15.7,24,17.2,18.5,17.7,14.9,17.1,14.4,19.6,17.5,20.2,18.05,80,67,78,64,45,41,36,39,30,54,87,76,58.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sanathnagar,5.29469,4.7,6.3,9.097026250000003,5.062037774193547,5.270953,5,6.195295,6.812404,13.71205,30.47144,10.4,9.026324668682797,67.1101,46.2,48.3,51.09037178571429,47.39242516129032,30.45251,25.6,24.03859,25.69912,51.16865,60.38508,45.5,43.57807057891705,,,,,,,,,,,,,,72.22408,53,61,50.857142857142854,40.135753225806454,29.68814,18,10.29435,19.08601,44.68506,72.96806,46.6,43.21154967357911,,,,,,,,,,,,,,78.83308,73.3,76.6,73.32466571428571,57.02262483870967,41.3,21,20.8,25.9,52.4,83.1,67.6,55.93169754608295,0.8741303,0.7153846153846153,0.76,0.7889285714285711,0.7125806451612904,0.44,0.45,0.4,0.48,0.63,0.75,0.9,0.6584186776645399,2.372242,1.2,1.1,1.1250232740740742,0.636786235483871,0.5610604,0.5,0.4595243,0.6513595,0.9306112,0.8132905,0.7,0.9208247841298288
19,HCU,13.042545483870969,9.351497586206898,10.7,9.1,7.079359966666668,4.887878,4.6,4.988065,4.771528,11.81311,18.47602,9.8,9.050833669728709,59.705380645161306,54.4317072413793,57.4,60,18.854597479999992,11.24652,11.6,29.74674,33.41584,47.63754,65.09923,42.9,41.00312961387838,102.96774193548387,90.96551724137932,106,92,58.55172413793103,36,28,31.3566,33.10981,94.40902,142.6903,80.3,74.69589277623284,49.45161290322581,40.241379310344826,41,33,21.566666666666666,15,10,10.85432,15.01611,43.41203,76.64773,35.9,32.6741540733531,20.52432290322581,19.332530344827585,18,20,13.969799360000001,10.88833,8.9,14.47275,12.20577,13.97383,25.14931,17.1,16.209720217337782,27.070967741935483,23.0448275862069,29,32.4,25.579999999999995,24.8,10.2,12.27337,22.06474,35.47315,45.04376,34.9,26.820901277345197,0.9145161290322581,0.9606896551724138,1.04,1,0.8783333333333332,0.8,0.7,0.7516293,0.8359008,0.9505968,0.6319687,0.8,0.8553028931281671,0.7887330483870968,0.43944026896551713,0.5,0.4,0.2354521146666667,0.1426909,0.1,0.1242782,0.2142508,0.3756523,0.5151196,0.4,0.3529681026682734
